# topic | definition | situation | appropriate action | misconception | correction | evidence to check | limitation
[pa-u1]
Stopping a recording | Ending capture once the intended macro steps are complete | A learner finishes the required formatting but keeps the recorder running during unrelated edits. | Stop the recording promptly and exclude unrelated actions before saving or using it. | Every later action is irrelevant to a recorder that is still running. | Supported actions performed while recording may become part of the macro. | The saved sequence contains the intended steps without the unrelated edits. | Stopping at the correct time does not guarantee the earlier steps were right.
Choosing macro storage | Saving a macro in a location appropriate to its intended availability | A learner wants a macro to travel with one workbook to another supported computer. | Save it with the document where supported and test its availability under the receiving system's security policy. | A macro stored only in a local user profile is automatically inside every sent workbook. | User-profile storage and document storage have different portability. | The intended receiving environment can locate the document's macro without the author's profile. | Availability does not authorise enabling untrusted document macros.
Function arguments | Values supplied as inputs to a reusable function | A custom calculation must work with a different quantity for each worksheet row. | Pass the appropriate cell value as an argument rather than hardcoding one row's quantity. | An argument is always the answer returned by the function. | Arguments enter the function; a return value comes back from it. | Different supplied quantities produce the expected corresponding results. | The function must define how unsuitable inputs are handled.
Function return values | Outputs produced by a function for use by its caller | A custom formula computes a charge internally but never returns it to the worksheet. | Ensure the function assigns or returns the calculated charge using the language's correct convention. | A value calculated inside a function must automatically appear in its calling cell. | Internal calculation and returning a result are separate requirements. | The calling cell receives the expected charge for a known test input. | A returned value may still be incorrect if the internal calculation is wrong.
Trust before macro execution | Assessing source and policy before permitting executable document code | An unsolicited invoice asks the recipient to lower macro security to view its contents. | Keep the code disabled and verify the document through an independent trusted channel. | An invoice title proves that embedded code is harmless. | Document labels do not establish the safety of code they contain. | The recipient does not enable unknown code based only on the document's instruction. | Trusted origins can also be compromised; organisational policy and review still matter.
Testing on copies | Validating automation without risking the only important data copy | A new macro will modify hundreds of financial cells on its first trial. | Back up the original and test the macro on a representative copy. | A macro that saves time cannot destroy data. | Automation can quickly repeat harmful operations as well as useful ones. | Test outputs match expected results while the original data remains recoverable. | An unrepresentative test may miss failures on different data or layouts.
Descriptive macro naming | Giving automation a name that communicates its intended purpose | A workbook contains macros called Macro1, Macro2 and Macro3 used by several operators. | Use meaningful names and document the task and required inputs for each macro. | Renaming a faulty macro fixes its underlying instructions. | A name improves identification but does not change or validate the program's logic. | Operators can select the intended task without guessing among indistinguishable names. | Clear names must still be maintained when a macro's behaviour changes.
[u2-ch6]
Same-document sheet references | Referring to a cell on another sheet of the same Calc document | A summary cell must display the current value from A1 on Sheet2. | Use a reference such as =Sheet2.A1 and verify it responds to the source. | A sheet reference must copy the value once and then stop depending on the source. | A formula reference can maintain a dependency on the source cell. | Changing Sheet2.A1 changes the summary result as intended. | A wrong sheet or cell address can still return a plausible but incorrect value.
Quoting sheet names | Enclosing sheet names containing spaces or special characters appropriately in references | A formula refers to the A1 cell on a sheet named Annual Sales. | Use the properly quoted sheet name, for example ='Annual Sales'.A1. | Spaces in a sheet name mean the sheet can never be referenced by a formula. | Such names can be referenced when the required quoting syntax is used. | Calc accepts the reference and retrieves the intended source cell. | Correct quoting does not protect against later references to the wrong sheet.
Organising multiple sheets | Inserting and naming sheets so related data can be managed in one workbook | A project needs separate clearly identified sheets for different months. | Insert the required sheets and give them meaningful distinct names. | Several sheets must always be stored as unrelated documents. | A Calc document can contain multiple organised sheets. | The workbook contains the required month sheets and users can select the intended one. | Organisation does not establish that values on the sheets are accurate.
References to another document | Linking a cell or range to a source in a separate spreadsheet file | A summary needs a value from an approved workbook maintained by another department. | Create the external reference using the correct document, sheet and cell through the supported keyboard or mouse workflow. | Opening the source once guarantees that its values will always remain accessible. | A reference to another document depends on a maintained accessible source and correct location. | A known source value appears in the intended summary cell and a controlled update is checked. | Moved files or changed permissions can interrupt the external dependency.
Registered data sources | Making an appropriate data source available through the application’s supported data-source workflow | A learner must use an approved registered database source in a spreadsheet. | Open the supported data-source view, choose the intended source and bring in the required records. | Choosing any similarly named source guarantees the correct records. | The registered source, table or query and selected records all need verification. | The imported or linked records agree with a known sample in the intended source. | Registration does not guarantee freshness, accuracy or unrestricted access.
Relative file links | Locating a target from the source file's position rather than a stored full path | A workbook and its linked PDF folder will be moved together as one project. | Use appropriate relative links and preserve the source-target folder arrangement. | A relative link can survive any arbitrary renaming or rearrangement of target files. | Relative links depend on the maintained relationship between source and target paths. | The moved project opens the intended PDFs with the same internal folder structure. | Missing or renamed targets still break relative links.
Absolute file locations | Storing a full destination location in a file hyperlink | A link should point to one specific file at a maintained full path. | Use the correct absolute location and verify users have access to that target. | An absolute hyperlink can never break because its address is complete. | A complete address becomes invalid when the target moves or access changes. | The link opens the intended file at the maintained full location. | A full local path on one computer may not exist on another computer.
External data refresh | Updating linked values from a separate data source after checking trust and relevance | A workbook still shows last month's figures from an external approved data file. | Check the source and refresh the link using the intended current data. | Opening a workbook guarantees that every external source is current and trustworthy. | Update behaviour and source trust need checking rather than assumption. | Refreshed values agree with a known current record in the approved source. | A refreshed source can contain errors; freshness is not the same as accuracy.
Hyperlink navigation | Opening a target resource or location rather than calculating with its value | A student expects a link to a report PDF to add that report's totals automatically. | Use the hyperlink for navigation and an appropriate data reference or calculation for totals. | Activating a hyperlink automatically imports every number in the destination into formulas. | Navigation and numerical data linkage perform different tasks. | The link opens the correct PDF without being mistaken for a calculation formula. | Target content or permissions may change independently of the link.
[u2-ch7]
Recording spreadsheet edits | Logging supported cell changes so reviewers can inspect proposed modifications | A reviewer needs to know which submitted values another editor altered. | Record supported changes in the agreed review workflow and inspect the change list. | Sharing a file proves that every edit has been recorded. | Sharing access and recording changes are separate features. | The reviewer can identify the relevant recorded modifications and their metadata. | Some operations or workflow choices may not be represented in the tracked list.
Collaborative sharing | Supporting multiple users' work on a spreadsheet under an agreed sharing workflow | Several authorised staff need to contribute data to the same workbook. | Use the supported sharing process and agree how conflicts and final versions will be handled. | Collaborative access removes the possibility of conflicting edits. | Simultaneous work can produce incompatible updates that still need resolution. | Contributors can work through the intended shared process and know how conflicts are reviewed. | Sharing is not a substitute for access control or a reliable backup.
Review annotations | Using comments to explain evidence or ask questions about a cell | A reviewer doubts an expense figure but does not yet know the correct replacement. | Attach a specific comment requesting the supporting receipt or explanation. | A comment asking for evidence already approves the current value. | Discussion and approval are different decisions. | The responsible editor can identify the questioned expense and requested evidence. | Comments themselves do not correct the underlying value.
Source-based conflict resolution | Choosing between incompatible edits by checking reliable underlying records | Two editors replace the same attendance count with different numbers. | Compare both proposals with the verified attendance source before choosing a value. | The last person to save must have the correct count. | Recency of an edit is not evidence of its factual accuracy. | The accepted count agrees with the verified attendance record. | The source may also need validation if it is incomplete or inconsistent.
Selective change acceptance | Deciding on individual proposed edits rather than approving an entire set blindly | Most corrections look useful but one proposed total lacks evidence. | Review and accept supported changes while leaving or rejecting the unsupported proposal appropriately. | Accepting one change automatically requires accepting every other change. | Review decisions can be made separately for different proposals. | The final version contains the supported edits without the unjustified total. | Related formulas may need checking after individual values change.
Rejecting an incorrect edit | Declining a proposed modification while retaining the appropriate prior content | A tracked edit replaces a valid account code with an incorrect one. | Reject the incorrect recorded change after confirming the valid code. | Rejecting a wrong edit guarantees all other workbook data is accurate. | Rejection addresses that proposal only, not the correctness of unrelated data. | The cell contains the verified appropriate code after review. | The earlier value must be checked rather than assumed correct solely because it is older.
Review baselines and copies | Identifying the original and reviewed versions before comparing or merging work | A team has several similarly named copies and cannot tell which was sent for review. | Establish the correct baseline and labelled reviewed copies before combining edits. | Any two files with similar names must share the same review baseline. | Names alone do not establish their content history or common starting point. | The chosen original and reviewed copies correspond to the intended review round. | Comparing against an unsuitable baseline can introduce misleading differences.
Protecting sensitive workbook data | Restricting access and sharing only necessary information during collaboration | A group is about to email a workbook containing private student contact details to unrelated volunteers. | Remove unnecessary private data and use authorised access arrangements for the remaining information. | A shared-spreadsheet feature grants permission to disclose all data in the workbook. | Technical sharing capability does not establish a legitimate need or authorisation. | Only authorised recipients receive the information required for their task. | Copies and exports can remain outside the shared system and need responsible handling.
Final version control | Clearly identifying the verified agreed copy after review is complete | Staff continue editing different files called Final and FinalLatest. | Designate one approved final location and archive or label superseded copies clearly. | Adding the word Final to several filenames makes them a single consistent version. | Version authority depends on an agreed process, not repeated labels. | Team members can identify and retrieve the same approved final workbook. | Later corrections require a controlled new revision rather than silent conflicting copies.
[u3-ch8]
Raw data and interpreted information | Distinguishing collected facts from meaningful results derived from them | A manager receives daily transaction values and wants to know whether sales are increasing. | Analyse the values over time and present the relevant trend with context. | An unexplained list of values communicates every possible conclusion by itself. | Meaningful information requires suitable processing or interpretation for the question. | The reported trend can be traced back to the relevant transaction values and time period. | An interpretation can be misleading if the underlying data or comparison period is unsuitable.
Relational records | Rows that hold related field values for individual entity instances | A school needs one row containing each student's ID, name and class. | Store each student's associated values together as a record in an appropriate table. | Each letter in a student's name is a separate complete student record. | A record represents the entity instance through its related field values, not each character. | A row's ID, name and class describe the same student. | Correct row structure does not by itself validate every entered value.
Relational fields | Columns representing attributes shared by the records in a table | A designer needs to represent every student's admission date consistently. | Define an admission-date field with an appropriate type for all student records. | Adding a new attribute means adding an unrelated student row. | An attribute is represented by a field or column, while a new row represents another record. | Each student record has the intended admission-date attribute in the same field. | A field can require validation and may allow missing values depending on the design.
Chosen primary keys | Selected unique non-null identifiers for records in a table | A register contains students with identical names but distinct stable student numbers. | Use the validated student number as the primary identifier rather than the name alone. | A familiar name must always uniquely identify one student. | Names can repeat or change and are not automatically suitable primary keys. | Duplicate or missing primary identifier values are prevented by the defined key. | A key prevents identifier conflicts but does not verify every other attribute.
Candidate and alternate keys | Distinguishing possible minimal unique identifiers from those selected or left unselected as primary | A table has two validated unique identifiers and the designer chooses one as its primary key. | Treat the other valid candidate as an alternate key and maintain its required uniqueness. | Every candidate not chosen as primary automatically becomes a foreign key. | Alternate-key status concerns an unchosen candidate; foreign-key status concerns a reference. | Both candidate identifiers retain their intended uniqueness while only one is designated primary. | Uniqueness assumptions need validation against real business rules.
Composite identification | Using a minimal combination of fields to distinguish records uniquely | One student can enrol on several courses, but duplicate enrolment in the same course is disallowed. | Identify an enrolment using the appropriate StudentID and CourseID combination. | Each part of a composite key must be unique on its own. | The combination must be unique; individual components may repeat. | Repeated student-course pairs are rejected while different valid pairs are allowed. | Key choice must reflect the actual rules, such as whether repeat enrolments by term are possible.
Reducing data redundancy | Avoiding unnecessary repeated storage of the same fact | A teacher's contact details are copied into hundreds of student rows. | Store the teacher's details once in an appropriately related table. | Storing more copies guarantees that updates remain consistent. | Repeated copies can diverge when some are updated and others are not. | Updating the stored teacher detail does not require editing unrelated duplicated copies. | Good schema design still requires valid relationships and careful updates.
Database objects and roles | Separating stored data, retrieval, entry interfaces and formatted output | A team confuses a printed marks report with the table holding student records. | Identify tables as storage, queries as retrieval, forms as interfaces and reports as presentation. | A report layout is always the only authoritative store of its source records. | Reports present data and usually depend on underlying tables or queries. | The team can trace the displayed report values to the intended source records. | Object roles do not determine whether a particular report is current or correctly designed.
Degree and cardinality | Counting a relation's attributes separately from its records | A table has eight columns and thirty enrolled students. | Count eight attributes for degree and thirty rows for cardinality. | Adding a student row necessarily adds a new attribute to the table. | Row changes affect cardinality, while column changes affect degree. | The reported column and row counts match the actual table structure and records. | Counts describe shape, not the correctness or completeness of the data.
[u3-ch9]
Text for identifiers | Representing identifier strings without unwanted arithmetic interpretation | A postal code begins with zeros that disappear when stored as a number. | Store the postal identifier as suitable text and verify the original source values. | Identifiers never need leading zeros because they are only decorative. | Leading zeros can be meaningful parts of an identifier and should not be discarded. | The stored code preserves the verified leading zeros exactly. | Changing a field type cannot reconstruct unknown lost characters without reliable source data.
Date-appropriate storage | Using a date data type for values that need date validation or date operations | A staff table must sort joining dates chronologically rather than as arbitrary text. | Use a suitable Date field and enter or import values in an unambiguous supported format. | Every text representation of dates sorts correctly in chronological order. | Text sorting depends on representation and may not match chronological order. | Known earlier and later dates sort in the expected date sequence. | A valid date can still be the wrong date for the person concerned.
Boolean fields | Representing a two-state logical attribute such as yes or no | A register needs to store whether a student has returned a signed consent form. | Use a suitable Boolean field and define how any allowed missing state is treated. | A yes/no field must contain a long paragraph for every record. | Two-state attributes can be represented directly by Boolean values. | The stored state distinguishes returned from not returned under the agreed rules. | A default false value must not silently be mistaken for a verified response.
Required entries | Preventing missing values in a field that must be supplied | New records are being saved without a mandatory student's name. | Set the appropriate required-entry property and test attempts to omit the value. | Requiring a name also guarantees that every name is unique. | Requiredness and uniqueness are separate constraints. | A record without the mandatory value is rejected or cannot be completed. | A nonempty value can still be inaccurate or meaningless without other validation.
Default field values | Supplying an initial value for new records without necessarily fixing it permanently | Most customers live in one city, but some live elsewhere. | Provide the common city as a default while allowing valid alternatives. | A default city forces every future customer to live in that city. | A default supplies an initial value; it is not necessarily an unchangeable rule. | A new record starts with the common city and can store a valid different city. | Users must check defaults rather than blindly accepting them.
Generated key values | Automatically assigning suitable new identifier values to inserted records | Several clerks create records and manual ID numbering produces collisions. | Use an appropriate automatically generated key with the required uniqueness rules. | Automatically generated IDs must always be consecutive with no gaps. | Generated identifiers can have gaps after deletions or unsuccessful operations. | New records obtain valid distinct identifiers without manual collision. | The largest identifier is not a reliable count of current rows.
Designing field properties | Choosing field names, types and appropriate properties before data entry | A creator accepts unsuitable default field types for every column in a contact table. | Review each attribute and set a meaningful name, suitable type and justified properties. | The first suggested type is necessarily correct for every kind of data. | Field types should follow data meaning and operations rather than blind acceptance of defaults. | Sample values for each attribute are stored and retrieved in the intended form. | Later structural changes can require careful migration and backups.
Safe deletion and dependencies | Checking related objects and recoverability before removing stored data | A table is about to be deleted even though several forms and reports use it. | Back up and inspect dependencies before deciding on an authorised deletion or alternative. | Deleting a table can never affect a report that displays its data. | Dependent objects may fail or lose their source when a table is removed. | Required dependent objects and recoverable data have been accounted for before deletion. | A backup is useful only if it is valid and can actually be restored.
Sorting stored records for viewing | Arranging the presentation of records by one or more field values | A user needs names in alphabetical order without changing the names themselves. | Apply the intended ascending sort to the name field and verify complete row association. | Sorting a name column should detach names from the rest of their records. | Records' related field values must remain associated when ordering results or views. | Names appear in order while each still matches its correct ID and other fields. | Sorting does not filter out invalid records or correct misspellings.
[u3-ch10]
One-to-many references | Associating many child records with one parent through a shared reference | Many employees belong to one department, and each employee has one assigned department. | Store the department key as an appropriate reference in employee records. | A department must be duplicated as a separate full record for every employee. | A shared parent can be referenced by multiple children without repeating all its details. | Employees in the same department reference the intended single department record. | The relationship rule must be checked if employees can belong to multiple departments.
One-to-one associations | Linking at most one matching record on each side under a stated rule | Each staff member has at most one uniquely assigned locker and each locker at most one member. | Enforce the appropriate uniqueness of assignments on both sides. | A one-to-one label alone prevents all duplicate assignments without any enforcement. | Design intent needs suitable keys or uniqueness constraints to be enforced. | Attempts to assign the same occupied locker to another member are rejected. | Real allocation rules may change and require a different design.
Many-to-many junctions | Representing multiple associations on both sides through a separate linking table | Authors can write several books and books can have several authors. | Create a linking table containing the relevant author and book identifiers. | One comma-separated author list in a book title is a sound replacement for relationships. | A junction table represents each association in structured fields with enforceable references. | Multiple valid author-book pairs can be stored without duplicate forbidden pairs. | Additional attributes of the association may need fields in the linking table.
Referential validity | Requiring each non-null foreign-key value to match a permitted referenced key | A new order refers to a customer ID absent from the customer table. | Verify the source and supply a valid customer reference or create the legitimate parent first. | A foreign key is valid merely because it contains a number. | Its non-null value must reference an existing appropriate parent key. | Invalid references are rejected while references to real customers are accepted. | Referential integrity does not establish that the selected customer is the intended person.
Compatible linked fields | Using compatible types and suitable key properties for linked columns | A numeric parent ID is being linked to an unrelated free-text description field. | Identify the actual child reference field and make the key types compatible as required. | Identical visible labels guarantee that any two fields can form a valid relationship. | Relationship suitability depends on key meaning, properties and type compatibility. | The intended compatible key fields form the supported relationship successfully. | Compatible types alone do not prove that existing child values are valid.
Restricted parent deletion | Blocking removal of a referenced parent when dependent records must remain protected | A customer with retained order records must not be deleted casually. | Use a relationship deletion rule that protects the required dependent records. | Referential rules always require silently deleting every related order. | Restriction can prevent a parent deletion that would invalidate retained references. | An unauthorised incompatible parent deletion is rejected rather than leaving orphaned orders. | Archival and retention requirements still need an explicit organisational policy.
Cascading key updates | Propagating an allowed change of a referenced key to dependent references | A permitted parent code is corrected and child references need to remain valid. | Use and test an appropriate update-cascade rule where the database supports it. | Updating a parent key can never affect the validity of existing child references. | Child references may need updating when the referenced key changes. | Related child keys track the allowed correction without becoming orphaned. | Not every design permits changing identifiers, and support varies by database.
Cascading deletions | Automatically deleting dependent child rows when an authorised parent removal requires it | A designer considers removing all line items when their disposable draft order is deleted. | Confirm the business rule, back up and test the intended cascade on sample data. | Delete cascade is always the safest choice for every relationship. | Cascades can remove important dependent records and must match retention needs. | Only the intended dependent draft items are removed in the controlled test. | A correct cascade can still destroy valuable history if the policy is wrong.
Reducing repeated related facts | Storing a fact at its appropriate entity level and linking records instead of repeating it | A department address is copied into every employee record and is updated inconsistently. | Keep the department address in the department table and use employee references to it. | Inconsistent repeated addresses are solved by adding still more copies. | Centralising the relevant fact reduces opportunities for divergent repeated values. | Employees' department address is obtained from the maintained department record. | Historical addresses may require a deliberate history design rather than simple overwriting.
[u3-ch11]
Selecting output fields | Choosing which attributes a query returns without deleting source columns | A result should show only StudentName and Marks from a wider student table. | Select those output fields in the query while leaving the source table structure intact. | Omitting a field from the query output deletes that column from the table. | Selecting query output fields controls returned columns, not the source table’s stored columns. | The result displays the requested two fields and the source retains its other fields. | A narrow output can still expose sensitive data if the chosen fields are inappropriate.
Inclusive threshold filtering | Including a boundary value when the requirement says at least or at most | A list must include learners scoring 50 or more, including exactly 50. | Use a condition such as Marks >= 50 and test the boundary. | Marks > 50 includes a value equal to 50. | A strict greater-than comparison excludes equality at the boundary. | Test rows scoring 49, 50 and 51 produce the expected exclusion and inclusions. | Correct comparison syntax does not resolve wrong field values or missing data.
AND conditions | Requiring every joined condition to be satisfied by a record | A result must include ClassID 3 students who also score above 70. | Join the class and marks conditions with AND. | OR always requires both conditions to be true. | OR permits either condition; AND requires both. | A high-scoring student in another class is excluded from the result. | In Query Design, placement on different condition rows affects which combinations are included.
OR conditions | Allowing a record when at least one of the joined conditions holds | A contact list should include customers from Delhi or Mumbai. | Join the two alternative city conditions with OR. | A single city field must simultaneously equal both different city names. | The alternatives are satisfied by either allowed value, not by impossible simultaneous equality. | Valid records from either named city appear and unrelated cities do not. | Check the complete criteria grid, not just one matching city, when other restrictions must also apply.
Result ordering | Arranging retrieved rows by selected sort expressions without changing stored facts | A marks report needs the highest score first. | Specify descending order on Marks in the query. | Descending sort means discard every record except the highest one. | Descending order sorts rows; it does not itself limit the result to one row. | Retrieved marks run from higher to lower while all qualifying records remain. | Tied values need another sort field if a deterministic tie order is required.
Numerical query calculations | Using a query to calculate with selected numerical fields | A query should show the value of each order line from Quantity and UnitPrice. | Add and check the required calculated result using the appropriate query tools. | A displayed calculated amount is correct even if it uses the wrong numerical fields. | A calculation must use the intended operands and operation. | A simple test order with known quantity and price gives the manually expected amount. | Correct arithmetic does not establish that the entered source quantities and prices are true.
Wildcard searches in Query Design | Matching text patterns through the query interface’s supported wildcard criteria | A query should list names that begin with R. | Enter and test the supported prefix criterion, such as R* where the graphical interface uses * for a character sequence. | A prefix pattern should also require every name to end with R. | A starting-letter condition and an ending-letter condition select different patterns. | Test names with and without the required prefix produce the intended matches. | Wildcard notation and case handling should be checked in the actual Base interface and database.
Editing query criteria | Changing an existing query’s selection rule without deleting source records | A teacher changes the required minimum score from 50 to 60. | Edit the saved query’s criterion and run it again with boundary test records. | Raising a retrieval threshold must delete every lower-scoring student from the table. | A retrieval criterion changes which records are displayed, not the stored records themselves. | Scores below 60 no longer appear in the result while the source retains those students. | Other criteria and sort settings may still affect the displayed result.
Checking numerical query summaries | Comparing numerical query results with the included source values | A query reports the average of three complete scores but a reviewer has checked only one row. | Verify all included values and compare the reported mean with the expected calculation. | One correct displayed row proves every numerical summary is right. | A summary depends on the full intended set of included values. | The reported mean matches a manual check of the included test scores. | Excluded or missing data and changed criteria can alter the meaning of a summary.
[u3-ch12]
Data-entry forms | Interfaces that display and edit records through controls bound to a data source | A receptionist needs a clearer way to enter visitor details than editing a wide table directly. | Create a form using the intended visitor source and appropriate input controls. | A form must contain independent copies unrelated to the underlying records. | Bound form controls can display or update the associated source fields. | A saved form entry appears in the intended underlying visitor record. | A friendly interface does not replace database validation or access permissions.
Fixed form labels | Descriptive text that identifies a field or instruction without storing the user's entry | A Name caption is confused with the box where the visitor's name should be entered. | Keep a clear label beside the correctly bound input control. | Typing an example name into a fixed label records every visitor's actual name. | A label describes a control; a bound input stores or displays the record value. | Different visitor records show their own values in the input while the label remains descriptive. | Clear labels still need understandable wording and suitable layout.
Boolean input controls | Controls suited to representing a yes/no field in a form | A form needs a simple way to record whether equipment was returned. | Use an appropriately bound check box for the agreed Boolean state. | A decorative unbound check box necessarily updates the equipment record. | A control must be correctly bound and saved to affect the intended data. | Checking and saving the control updates the correct record's returned state. | Default and null states need deliberate treatment to avoid misleading assumptions.
Controlled selections | Restricting user selection to relevant valid choices while saving the intended value | Clerks enter inconsistent spellings for the same class in a student form. | Provide a suitable class selector that displays clear names and stores the correct class key. | Displaying a list of names guarantees that the correct key is stored. | Displayed text and the bound stored value can differ and must be configured correctly. | Selecting a class stores its intended ClassID and shows the appropriate display name. | Database-level integrity is still needed for entry paths outside the form.
Parent-child subforms | Showing related detail records within an interface for a selected parent | A class form should show only the students assigned to the currently selected class. | Configure the main and subform linking fields using the appropriate ClassID relationship. | Placing two unrelated forms on one screen automatically links their records. | A subform needs correct master-detail linkage to follow the selected parent. | Moving to another class updates the displayed student list to that class's children. | Incorrect links can show unrelated data even when both forms individually open.
Report source selection | Choosing the table or query that supplies a report's intended records | A printed merit list includes students who do not meet its selection rule. | Use and verify a source query that retrieves only the qualifying records. | A decorative report title filters its data automatically. | Record selection comes from the source or configured rules, not the title's wording. | The printed list matches test records satisfying the actual merit criteria. | A correct source must still be refreshed or regenerated as required by the report workflow.
Report grouping | Presenting related output records together under a common grouping field | An attendance report must show students under their own class headings. | Group the report by the intended class field and check any group summaries. | Alphabetical sorting by name alone guarantees class-wise grouping. | A name sort can interleave classes unless the class grouping is explicitly represented. | Each class heading contains the correct associated student records. | Grouping appearance does not prove the underlying class assignments are accurate.
Report context and dates | Identifying a report's purpose and reporting period clearly | Two printed totals differ and neither page states the period it covers. | Add a meaningful title and accurate reporting-period information and verify the source scope. | Printing today's date proves all source data were collected today. | A print date and the dates covered by the data are different. | Readers can distinguish the generation date from the actual reporting period. | Correct labels cannot repair a query that selects the wrong time range.
Testing form behaviour | Checking record navigation, saving and invalid-input handling before routine use | A newly designed form looks correct but saves a value into the wrong field. | Test known entries, navigate records and inspect the saved source values. | Visual alignment of labels and boxes proves every binding is correct. | Control appearance and underlying data binding must be checked separately. | Entered test values reach the intended fields and records without unintended changes. | A small test set can miss unusual inputs or permission-dependent failures.
[u4-ch13]
Recognising hazards | Identifying a source or condition with potential to cause harm | A damaged cable lies across a frequently used walkway. | Keep people clear and report both the trip and electrical concerns for authorised action. | A condition cannot be a hazard until someone is injured. | Potential for harm is enough to identify a hazard before an accident occurs. | The report identifies the location and relevant trip and electrical dangers. | Reporting does not itself remove the hazard; suitable control must follow.
Assessing risk | Considering likelihood and consequences of harm in the actual circumstances | A rare exposed-wire fault could cause severe injury even though incidents are infrequent. | Assess potential severity as well as exposure and likelihood when prioritising action. | Rare events always deserve lower priority than every frequent inconvenience. | Low frequency does not make a potentially severe outcome unimportant. | The assessment accounts for both the possible harm and how people could be exposed. | Risk estimates involve uncertainty and should not justify leaving serious hazards uncontrolled.
Eliminating obstructions | Removing an unnecessary source of danger rather than only warning about it | Empty packing boxes repeatedly block an otherwise usable emergency route. | Arrange safe removal of the boxes and prevent further storage in that route. | A warning sticker makes a blocked escape route equivalent to a clear one. | Warnings do not restore the physical access needed for evacuation. | The route remains unobstructed and usable after the removal. | Other route hazards and the complete evacuation plan still need inspection.
Engineering controls | Reducing exposure through physical changes to equipment or the work environment | Moving machinery presents an accessible dangerous contact point. | Have authorised personnel provide and maintain the appropriate physical guarding. | Telling people to concentrate is the same as installing a physical guard. | Instructions are administrative measures, not an equivalent physical barrier. | The approved guard prevents the intended hazardous contact during authorised operation. | Guards must not be bypassed and still require maintenance and training.
Administrative precautions | Using procedures, schedules and training to reduce exposure to hazards | Staff do not know the procedure for reporting a newly noticed hazard. | Provide the approved reporting process and train staff in when and how to use it. | Writing a procedure automatically means everyone knows and follows it. | Procedures need communication, understanding and implementation. | Staff can explain and use the correct reporting route in a practice scenario. | Administrative controls generally rely on behaviour and should not replace stronger feasible controls.
Protective equipment limits | Understanding that suitable PPE reduces exposure without necessarily removing the hazard | A worker assumes gloves allow any untrained chemical task to be attempted safely. | Follow the approved task assessment and training requirements rather than relying on gloves alone. | Wearing any glove makes every chemical harmless. | Protection depends on suitable equipment and conditions; it does not erase chemical hazards. | Only authorised tasks use PPE selected for the assessed hazard and procedure. | PPE can fail or be unsuitable and is not a substitute for eliminating avoidable exposure.
Near-miss learning | Using incidents without injury to identify weaknesses before future harm | A box falls close to a worker but nobody is struck. | Report the near miss and investigate the storage or handling conditions safely. | No injury means there is nothing useful to report. | A near miss can reveal a hazard that may injure someone next time. | The report leads to a check and correction of the unsafe stacking or handling issue. | Investigation must not create new exposure or delay immediate safe control.
Safe manual handling | Planning loads and movement within training and personal capacity | A student is asked to move a heavy awkward box alone through a cluttered route. | Seek suitable assistance or an approved aid and arrange a safe route before movement. | Speed compensates for a load beyond one's safe capacity. | Rushing does not reduce the load or the risk of strain and loss of control. | The move uses an appropriate assessed method on a clear route without overloading the person. | Individual limitations and the actual load must be considered, not just a generic lifting slogan.
Authorised access | Restricting access to workplace information or areas according to legitimate permission | Visitors can see private records on an unattended unlocked workstation. | Secure the workstation and follow the approved access and visitor procedures. | A computer inside a workplace is automatically inaccessible to unauthorised viewers. | Physical presence and screen visibility can expose data unless access is controlled. | Unauthorised visitors cannot read the unattended protected records. | Locking a screen does not undo earlier disclosure or secure all printed copies.
[u4-ch14]
Supported sitting posture | Arranging seating to reduce unsupported or awkward sustained body positions | A learner's feet dangle and lower back remains unsupported during computer work. | Adjust suitable seating or foot support to provide comfortable feet and back support. | One rigid posture held without movement is ideal for every worker all day. | Comfortable support should be combined with movement and individual adjustment. | The learner sits with supported feet and back without sustained strain or forced positioning. | Persistent discomfort needs assessment rather than repeated unsupported self-adjustment.
Comfortable display placement | Positioning the screen to avoid repeated awkward neck or viewing positions | A worker tilts the head upward for hours to see an unnecessarily high monitor. | Adjust display height and viewing position for comfortable neutral use. | A monitor is ergonomic merely because its screen size is large. | Display size does not determine whether its height and placement suit the user. | The worker can view the display without sustained upward neck extension. | Vision needs and individual circumstances can require different arrangements.
Managing glare | Reducing disruptive reflections and excessive contrast around a display | A bright window reflects in the screen and makes text hard to read. | Reposition the screen or adjust blinds and lighting to reduce the reflection. | Increasing screen brightness always removes every kind of glare safely. | Glare often requires changing light sources or geometry rather than only brightness. | The reflection no longer interferes with reading at an appropriate display setting. | Lighting changes must still leave the rest of the workspace safe and adequately lit.
Neutral input-device use | Positioning keyboard and mouse to avoid prolonged reaching and awkward wrist positions | A mouse is far from the keyboard and the user reaches sideways repeatedly. | Bring the mouse within comfortable reach and review keyboard and forearm positioning. | A faster mouse pointer removes the need to consider physical reach. | Software speed does not eliminate the physical posture used to hold the device. | The user can operate both input devices without repeated far reaching or bent wrists. | Equipment position is only one factor in repetitive-work discomfort.
