# Authored MCQs: question | correct option | distractor | distractor | distractor | explanation
[pa-u1]
Which example is an electrical hazard? | Exposed wiring on a damaged cable | An organised noticeboard | A clean drinking-water point | A well-adjusted chair | Exposed conductors can cause shock, burns or fire.
A box blocks an emergency exit. What is the appropriate response? | Report it and arrange safe removal according to the workplace procedure | Ignore it until a fire starts | Lock the exit to hide the box | Add more boxes to stabilise it | Exit routes must remain accessible; hazards should be addressed before an emergency.
Which control is generally strongest when feasible? | Eliminating the hazard | Relying only on a warning sticker | Asking workers to remember it | Giving a speech after an injury | Elimination removes the source of harm rather than merely reducing exposure.
Which is an example of an engineering control? | Installing a physical machine guard | Telling staff to be more careful only | Issuing a reminder email only | Scheduling an awareness talk only | Engineering controls change the physical workplace or equipment to reduce exposure.
Why should a near miss be reported? | It reveals a hazard before someone may be injured | It proves the workplace has no risk | It guarantees compensation | It replaces every safety inspection | Learning from near misses can prevent future incidents.
What is appropriate when a load is too heavy to lift safely alone? | Use suitable assistance or an approved lifting aid | Lift quickly with a twisted back | Hide the problem | Balance it above the head | Assistance or an aid reduces strain; lifting beyond one's capacity increases injury risk.
Which is a security measure for sensitive workplace records? | Restricting access to authorised users | Posting passwords on a public wall | Leaving records on an unlocked public PC | Sharing every account | Security protects records and systems from unauthorised access.
What is an employer's safety responsibility? | Provide appropriate procedures, equipment and training | Assume hazards are solely workers' problems | Discourage reporting | Remove every safety sign | Organisations must provide conditions and guidance that support safe work.
Which action is within a student's safe role when noticing a leaking chemical container? | Keep clear and inform the responsible adult or safety officer | Taste the liquid to identify it | Mix it with cleaning products | Pick it up bare-handed | Unknown chemicals require trained assessment; avoid exposure and report the hazard.
[u4-ch14]
Which sitting position supports comfortable computer work? | Feet supported and back supported with relaxed shoulders | Feet dangling and shoulders raised | Twisted torso for the entire session | Perching without back support for hours | Support and neutral posture help reduce sustained strain.
What is the purpose of the 20-20-20 eye-break guideline? | Encourage periodic distance viewing during close screen work | Set a compulsory computer password length | Determine database capacity | Replace all medical eye care | Looking away periodically may reduce discomfort; it is not a substitute for professional care when needed.
How can screen glare be reduced? | Reposition the screen and adjust lighting or blinds | Increase reflections from a bright window | Face a bare lamp directly | Ignore lighting conditions | Glare depends on screen position and light sources, so adjusting them can improve comfort.
Which keyboard arrangement supports neutral wrists? | A comfortable height with forearms supported as appropriate | A keyboard placed far above shoulder height | A keyboard behind the chair | A tilted wrist position held rigidly | Keep wrists near neutral and avoid awkward sustained positions.
Which action helps prevent slips from a floor spill? | Warn others and arrange prompt safe cleaning | Leave it until the end of the month | Cover it with loose paper | Run across it repeatedly | Warning and controlled cleaning reduce exposure to a slippery surface.
Why is adequate ventilation important? | It helps maintain indoor air quality | It guarantees no infection can occur | It removes the need for cleaning | It replaces every fire alarm | Ventilation helps manage stale air and indoor contaminants, alongside other measures.
Which drinking-water practice supports workplace health? | Use a safe supply and keep storage or dispensers clean | Share visibly dirty cups | Ignore contamination notices | Store water beside leaking chemicals | Clean storage and safe sources reduce contamination risk.
What should a worker do about persistent wrist pain during computer use? | Report it, review workstation habits and seek appropriate medical advice | Continue unchanged indefinitely | Take a colleague's prescription medicine | Tighten every muscle to resist pain | Persistent pain needs attention rather than self-medication or ignored exposure.
Which mouse placement is usually more comfortable? | Close to the keyboard within easy reach | Far beyond arm's reach | On the floor under the desk | Behind the monitor | Easy reach reduces repeated stretching and shoulder strain.
Why alternate tasks or take suitable breaks during repetitive work? | To reduce prolonged static posture and repetitive strain | To guarantee all work finishes without planning | To replace every ergonomic adjustment | To avoid reporting hazards | Changes in posture and activity complement workstation adjustments.
[u4-ch15]
What is the safest priority when a fire alarm sounds in an occupied office? | Follow the evacuation plan using a safe exit | Finish saving every file before considering leaving | Use the lift to beat the queue | Return for personal belongings | Life safety takes priority; do not delay evacuation for property.
Where should evacuees go after leaving the building? | The designated assembly point | Back to their desks | An unannounced distant location | A locked storage room | Assembly enables a headcount and helps responders identify missing people.
Who should authorise re-entry after an evacuation? | The responsible emergency authority or designated official | Any person who wants their bag | The first student to return | An anonymous social-media post | Re-entry requires official clearance, not personal guesswork.
Which three elements form the fire triangle? | Fuel, heat and oxygen | Water, paper and smoke | Carbon, nitrogen and sand | Alarm, exit and lift | Removing one necessary element can stop combustion when done safely by appropriate means.
When is attempting to use an extinguisher appropriate? | Only if trained, the fire is small and controllable, and escape remains safe | Whenever smoke fills the escape route | Before raising any alarm in every situation | Even if the extinguisher type is unknown | Training, correct equipment and an unobstructed escape route are essential; otherwise evacuate.
What should an untrained bystander do when someone is in contact with an electrical source? | Keep clear, call help and have power isolated safely | Grab the person's bare hands | Throw water on the equipment | Touch the cable to test it | The bystander must avoid becoming another casualty and obtain safe isolation and trained help.
Which emergency number provides integrated emergency assistance in India? | 112 | 404 | 808 | 555 | 112 is India's integrated emergency assistance number.
What information is most useful when calling emergency services? | Exact location, type of incident and known hazards | Only the caller's favourite subject | A guess that no one is hurt | The building's paint colour alone | Clear location and hazard information helps dispatch the right response; follow dispatcher instructions.
What does STOP, DROP and ROLL address? | Clothing catching fire | A routine database backup | A chemical taste test | An electrical isolation procedure | Stopping, dropping and rolling can help smother flames on clothing; seek emergency assistance.
Why should an accident scene be preserved when safe to do so? | To support reporting and investigation after immediate danger is controlled | To stop emergency personnel from helping | To hide evidence from supervisors | To keep bystanders close to hazards | Preserve relevant evidence without obstructing rescue or allowing continued danger.
